lambda_,t,N
2.176736e-01,2.566121e+00,5.596468e-01
2.726979e-01,3.959191e-01,8.933812e-01
4.463202e-01,2.087460e-01,9.477016e-01
8.113628e-01,2.361870e+00,1.839144e-01
1.308148e+00,2.413932e+00,8.774969e-02
1.256694e-01,2.831341e+00,6.384112e-01
1.823115e+00,1.506111e+00,3.790019e-02
7.998646e-01,2.107441e+00,1.412821e-01
1.271545e-01,1.718953e+00,7.631612e-01
6.040812e-01,2.908352e+00,1.774722e-01
1.850614e+00,1.266240e+00,1.030793e-01
1.021670e+00,2.703918e+00,6.946391e-02
1.960826e+00,2.348057e+00,-3.365834e-03
7.773668e-01,2.324490e+00,1.616399e-01
1.104705e+00,4.696271e-01,5.713731e-01
1.986974e+00,5.184607e-01,3.152010e-01
1.260355e+00,1.605148e+00,1.476852e-01
1.699142e-01,6.527204e-01,8.919820e-01
7.988738e-01,1.582710e-01,8.495138e-01
5.726515e-01,1.921547e+00,3.366680e-01
1.476752e+00,2.321698e+00,7.066067e-02
6.390515e-01,3.585518e-01,8.439775e-01
1.051978e+00,1.762784e+00,2.035671e-01
1.006186e+00,2.383020e+00,5.157297e-02
1.345189e+00,1.327620e+00,1.559715e-01
3.403388e-01,2.546863e+00,3.696476e-01
1.572583e+00,1.738498e+00,7.000224e-02
1.272790e+00,2.984371e+00,-8.738151e-03
5.428776e-01,1.505159e+00,4.683447e-01
1.985693e+00,3.856837e-01,4.508097e-01
1.926952e+00,2.905276e-01,5.920636e-01
2.391843e-01,2.116603e+00,6.285315e-01
1.701328e+00,6.554766e-01,2.688447e-01
9.256975e-01,2.612767e+00,6.234143e-02
1.254286e+00,2.362259e+00,4.254247e-02
8.180770e-01,9.281462e-02,9.193845e-01
2.784025e-01,2.720753e+00,5.222088e-01
7.211948e-01,4.601090e-01,7.218674e-01
1.553163e+00,2.760984e+00,4.336402e-02
1.894811e+00,2.339854e+00,-2.172042e-02
1.765496e+00,2.988818e+00,3.389989e-02
1.429981e+00,1.388245e+00,9.959217e-02
3.388646e-01,1.606568e+00,5.740641e-01
1.586941e+00,5.837968e-01,4.014248e-01
1.568091e+00,9.212052e-01,2.521647e-01
1.467311e+00,1.543069e-01,7.543866e-01
3.366800e-01,1.349818e+00,6.127033e-01
1.230250e+00,6.124580e-01,4.536471e-01
4.048547e-01,8.103392e-01,7.501873e-01
7.181996e-01,2.819616e-01,8.125671e-01
5.539787e-01,2.341777e+00,2.686112e-01
3.280312e-01,1.432746e+00,6.385117e-01
5.415707e-01,2.752152e+00,2.188757e-01
1.385050e+00,2.360839e+00,8.694741e-02
4.780269e-01,1.459436e+00,5.180620e-01
9.383360e-01,2.950552e+00,3.478156e-02
1.183791e+00,1.936632e+00,1.438632e-01
1.450561e+00,2.053710e+00,5.673879e-02
1.859239e+00,8.394863e-01,2.068517e-01
1.315875e+00,1.049370e+00,2.132779e-01
1.259633e+00,2.381254e+00,2.521165e-02
1.153607e+00,1.123261e+00,2.864542e-01
1.152225e+00,1.457077e+00,2.078457e-01
5.856414e-01,2.887811e+00,1.718644e-01
1.694137e+00,1.426337e+00,8.102607e-02
1.535771e+00,2.270001e+00,1.744489e-02
1.856736e-01,1.261887e+00,7.986175e-01
1.729145e-01,1.523997e-01,9.850480e-01
1.243300e+00,2.119092e+00,1.018087e-01
1.899110e+00,2.278723e+00,-5.041938e-03
1.516804e+00,7.166500e-01,3.215010e-01
9.397609e-01,2.177114e+00,1.501236e-01
1.903450e+00,2.822583e+00,-7.074991e-03
6.484295e-01,2.257034e+00,2.352562e-01
7.261544e-01,1.011556e+00,4.685722e-01
1.500746e+00,1.869250e-01,7.834968e-01
6.365096e-01,8.760029e-02,9.945569e-01
8.083855e-01,3.273422e-01,8.022377e-01
5.509566e-01,1.283506e+00,5.213792e-01
1.590952e+00,1.089705e+00,1.577344e-01
3.664751e-01,2.269691e+00,4.723618e-01
3.371928e-01,2.962795e+00,3.625715e-01
1.096047e+00,5.985185e-01,5.305114e-01
1.898688e+00,1.764173e+00,6.419250e-02
1.083065e+00,1.109218e+00,3.206834e-01
5.263193e-01,3.789272e-01,7.731027e-01
1.600150e+00,1.342230e+00,7.016708e-02
1.731673e+00,4.476692e-01,4.641131e-01
6.304110e-01,2.640389e+00,1.908295e-01
2.304183e-01,3.415065e-01,9.084147e-01
4.254402e-01,2.930209e+00,2.828257e-01
3.384631e-01,1.118752e+00,6.790731e-01
1.488461e+00,9.218203e-01,2.950873e-01
1.273830e+00,6.588891e-01,3.875801e-01
1.960708e+00,2.246707e+00,2.926440e-02
1.702940e+00,8.967310e-01,2.733754e-01
1.505781e-01,2.968932e+00,6.759795e-01
1.982422e+00,2.980240e+00,-2.581189e-02
2.495411e-01,2.741902e+00,5.310739e-01
1.194912e+00,8.801869e-01,2.771961e-01
1.357385e+00,2.980647e+00,3.515930e-02
1.760561e+00,2.963801e+00,-9.988698e-03
1.706663e+00,8.153785e-01,2.169894e-01
1.181571e+00,2.974511e+00,-4.219367e-03
1.911198e+00,2.016061e+00,2.392348e-02
1.749599e+00,8.771174e-01,2.056845e-01
9.077063e-01,1.577579e+00,2.836079e-01
8.251971e-01,2.286796e+00,1.343588e-01
1.305412e+00,2.692876e+00,5.640695e-02
2.684374e-01,2.066714e+00,5.536803e-01
1.863737e-01,1.236090e+00,8.440615e-01
1.002136e+00,2.565419e+00,7.341955e-02
1.726320e+00,1.609118e+00,2.383389e-02
7.211920e-01,4.155442e-01,7.671925e-01
4.506180e-01,2.689678e+00,2.742254e-01
7.723989e-01,1.169909e+00,4.647944e-01
3.000446e-01,2.694787e+00,4.358494e-01
1.688144e+00,2.252091e+00,2.350697e-02
1.644034e+00,1.572462e+00,6.749703e-02
6.696157e-01,1.089909e+00,4.581743e-01
1.142999e-01,5.492188e-01,9.660239e-01
5.730289e-01,2.615494e+00,1.985357e-01
5.282432e-01,1.899864e+00,4.040764e-01
1.637160e+00,2.148552e+00,-5.411539e-03
1.182576e-01,2.717294e+00,6.831637e-01
3.010138e-01,1.129324e+00,6.995160e-01
1.244298e+00,2.762073e+00,8.017065e-02
4.240425e-01,2.767411e+00,3.139335e-01
1.139212e+00,2.254135e+00,5.458438e-02
8.589353e-01,2.380009e+00,9.017800e-02
1.951401e-01,1.303534e+00,8.153877e-01
7.785841e-01,1.838193e+00,1.902566e-01
1.504047e+00,2.618189e+00,4.506525e-02
1.993860e+00,1.089802e+00,1.112813e-01
1.412226e+00,2.002959e+00,5.671956e-02
1.550478e+00,1.699240e+00,1.279071e-01
8.370962e-01,2.522937e+00,5.081578e-02
1.183857e+00,1.526748e+00,1.541917e-01
1.946687e+00,2.838173e+00,2.289558e-02
8.939933e-01,6.656062e-01,5.881196e-01
1.612905e+00,6.301693e-01,3.599841e-01
1.013007e+00,1.341758e-01,8.467607e-01
9.134600e-01,1.827411e+00,1.673311e-01
5.026302e-01,9.835443e-01,6.108400e-01
1.278054e+00,2.269125e-01,7.463162e-01
4.350435e-01,1.193842e-01,9.174148e-01
1.939288e+00,2.637039e+00,-2.636716e-03
6.942481e-01,1.842756e+00,3.315234e-01
1.853936e+00,1.955383e+00,4.177062e-02
1.629547e+00,1.273366e+00,8.109287e-02
5.634272e-01,1.080908e+00,5.282288e-01
1.410101e+00,2.823860e-01,6.657526e-01
1.532378e+00,8.677315e-01,2.655892e-01
1.489232e+00,1.554848e+00,5.633464e-02
7.545907e-01,1.940328e+00,2.546571e-01
5.017183e-01,2.298435e+00,3.546538e-01
6.503513e-01,4.342136e-01,7.953000e-01
1.516000e+00,2.783562e+00,2.691465e-02
1.899761e+00,1.802010e+00,2.539259e-02
1.538288e+00,2.822529e+00,3.750325e-02
6.949434e-01,2.604303e-01,8.625254e-01
1.061292e+00,1.178582e+00,2.833262e-01
9.235902e-01,7.285866e-02,9.424322e-01
1.670184e+00,1.441461e-01,8.107051e-01
1.278135e+00,4.762761e-01,5.319111e-01
2.636222e-01,1.839544e+00,6.220497e-01
1.935177e+00,2.274399e+00,3.508258e-02
1.931228e+00,2.663156e+00,-1.430905e-02
1.176659e-01,1.643896e-01,9.711383e-01
9.727943e-01,3.834724e-01,6.276477e-01
1.178370e+00,2.392128e+00,9.571841e-02
4.469034e-01,7.869690e-01,6.888857e-01
7.635288e-01,1.914209e+00,2.232123e-01
2.799125e-01,1.403484e+00,6.778190e-01
1.044046e-01,7.122288e-01,9.361842e-01
9.393296e-01,2.235417e-01,8.320491e-01
1.144180e+00,2.261327e+00,1.300216e-01
1.385461e+00,3.013533e-01,6.345190e-01
9.796454e-01,7.839060e-01,4.278203e-01
1.160091e+00,1.687895e+00,1.282966e-01
1.541774e+00,7.808762e-01,3.475338e-01
8.977381e-01,1.462788e+00,2.286395e-01
8.852339e-01,1.494642e+00,2.696425e-01
7.380413e-01,9.090779e-01,5.415303e-01
1.029723e-01,2.992827e+00,6.987768e-01
1.265696e+00,2.823309e+00,6.124317e-03
5.003829e-01,1.684522e-01,9.081251e-01
6.338149e-01,2.858094e+00,1.921036e-01
3.718466e-01,2.694860e+00,3.912373e-01
1.461678e+00,2.523672e+00,1.032571e-01
1.005811e+00,9.013303e-01,3.954312e-01
4.866441e-01,1.547771e+00,4.983766e-01
4.577881e-01,2.474762e+00,3.319182e-01
8.975575e-01,1.851629e+00,1.513357e-01
1.567691e+00,6.735196e-01,3.585860e-01
4.869050e-01,1.352907e+00,5.734071e-01
1.072389e+00,1.805869e+00,1.287717e-01
1.835642e+00,2.351247e+00,5.717550e-02
7.404221e-01,2.173898e+00,1.793341e-01
1.894160e-01,2.309269e+00,5.691661e-01
1.106049e+00,2.229902e+00,4.062173e-02
5.195746e-01,2.791629e+00,2.998639e-01
2.177517e-01,2.929390e+00,5.521332e-01
4.347781e-01,1.507660e+00,5.546402e-01
1.515930e+00,1.993932e+00,4.556016e-02
5.005982e-01,4.743707e-01,7.768207e-01
1.102403e+00,2.194928e+00,1.091518e-01
7.494162e-01,2.603209e+00,1.450050e-01
1.103703e+00,8.096469e-01,4.308479e-01
3.484537e-01,8.337774e-01,7.373509e-01
1.874705e-01,1.240697e+00,7.928405e-01
2.871731e-01,2.548401e+00,5.166681e-01
1.109458e+00,1.404469e+00,2.167907e-01
1.243358e+00,2.430611e+00,3.091975e-02
5.748633e-01,2.710407e+00,2.386454e-01
1.900674e+00,1.999066e+00,2.376039e-02
5.898358e-01,1.188476e+00,5.215885e-01
4.002007e-01,2.560097e+00,3.894596e-01
2.379996e-01,8.387098e-01,8.379457e-01
1.085541e+00,9.907897e-01,3.463145e-01
1.826127e+00,3.163327e-01,5.314878e-01
1.152407e+00,2.435674e+00,6.281331e-02
1.193891e+00,1.295359e+00,2.498563e-01
1.839063e+00,2.404339e+00,1.768034e-02
6.848711e-01,1.119401e+00,4.439896e-01
8.415031e-01,2.022923e-01,8.520480e-01
1.211693e+00,1.696419e+00,1.339584e-01
7.869440e-01,3.192927e-01,7.352128e-01
1.751927e+00,1.391213e+00,9.639599e-02
1.941978e+00,1.446856e+00,7.256314e-02
1.007967e+00,7.770414e-02,9.200872e-01
7.487663e-01,2.826857e-01,8.122681e-01
6.629174e-01,1.124692e+00,4.621311e-01
8.568688e-01,2.779794e+00,1.344681e-01
1.867075e+00,2.213826e+00,4.434108e-02
1.290835e+00,2.610545e+00,2.674222e-02
1.668748e+00,2.758064e+00,3.680844e-02
1.619579e+00,2.820531e+00,-2.376859e-02
1.709728e+00,7.921572e-01,2.452580e-01
1.589113e+00,1.925371e+00,5.978230e-02
6.418863e-01,3.799010e-01,7.898559e-01
1.366671e+00,2.507368e+00,-3.564310e-04
5.854068e-01,2.302988e+00,2.568460e-01
1.748039e+00,2.175526e+00,-1.847255e-02
7.788882e-01,1.578765e+00,2.621789e-01
8.348902e-01,1.578163e+00,2.486525e-01
1.763695e+00,1.916167e+00,4.797225e-02
1.958844e+00,4.687588e-01,4.288230e-01
7.098661e-01,1.760954e+00,3.334736e-01
3.767217e-01,2.242332e+00,4.820674e-01
1.037975e+00,1.320220e+00,2.385485e-01
7.262916e-01,2.930594e+00,6.640634e-02
1.462222e+00,2.600345e+00,1.288881e-02
4.400157e-01,2.530106e+00,3.002056e-01
1.287805e+00,1.489418e+00,2.111813e-01
2.471057e-01,2.245706e-01,9.620626e-01
1.726100e+00,4.542368e-01,4.939164e-01
4.103071e-01,5.095264e-01,8.237646e-01
1.893585e+00,2.215603e+00,-2.225615e-02
7.069356e-01,6.770441e-01,6.328629e-01
1.125214e+00,2.022374e+00,5.731246e-02
1.374565e-01,2.107824e+00,7.280841e-01
1.085494e+00,5.550833e-01,5.862513e-01
2.339113e-01,5.767734e-01,8.803311e-01
1.990910e+00,1.699495e+00,4.122230e-02
9.410076e-01,2.203842e+00,9.615586e-02
1.358089e-01,1.119362e+00,9.084027e-01
4.625939e-01,2.981622e+00,2.559018e-01
1.779626e+00,4.689137e-02,9.608027e-01
9.133079e-01,1.444908e+00,2.719874e-01
1.310992e+00,7.386054e-01,3.387304e-01
3.401981e-01,7.516841e-01,8.225739e-01
1.899584e+00,2.331625e+00,3.302143e-02
1.396029e+00,1.937378e+00,6.073930e-02
2.719947e-01,2.631104e+00,4.874294e-01
8.292290e-01,1.497907e+00,2.916554e-01
1.570245e+00,1.896414e+00,5.227632e-02
1.355034e+00,1.308306e+00,1.576506e-01
9.884995e-01,1.243266e+00,3.013178e-01
1.207359e+00,1.631382e+00,1.300036e-01
1.014435e+00,2.189306e+00,9.040291e-02
1.306541e+00,1.304790e+00,2.338238e-01
5.603127e-01,1.102902e+00,5.757489e-01
1.896921e+00,6.867022e-01,2.636779e-01
1.948410e+00,2.730790e+00,-4.215839e-02
6.728243e-01,2.072715e+00,2.615355e-01
4.962096e-01,2.922114e+00,2.272352e-01
1.439533e+00,2.938121e+00,4.939157e-03
8.317482e-01,2.576952e+00,1.121439e-01
4.093896e-01,2.547383e+00,3.213057e-01
1.047225e+00,2.656586e+00,3.558287e-02
1.308706e+00,1.998159e+00,5.132350e-02
5.881043e-01,2.567568e+00,2.244046e-01
4.409539e-01,8.480132e-02,9.495827e-01
1.981485e+00,2.688992e+00,2.244518e-03
2.823589e-01,1.682680e+00,6.385172e-01
7.286108e-01,1.239908e+00,4.062999e-01
7.125045e-01,2.780697e+00,1.261931e-01
8.464363e-01,2.961209e+00,1.055221e-01
7.629483e-01,3.854502e-01,7.178410e-01
1.244841e+00,2.746168e+00,8.006030e-02
8.100057e-01,1.588846e+00,2.664625e-01
8.110458e-01,1.246560e+00,3.226641e-01
6.893954e-01,6.700585e-01,6.179858e-01
1.437297e+00,1.376603e+00,9.142114e-02
1.250460e+00,1.206457e+00,1.960182e-01
1.762409e+00,3.705546e-01,5.047201e-01
1.959302e+00,2.096185e-01,6.054068e-01
6.819439e-01,1.792619e+00,3.109213e-01
8.763712e-01,8.807034e-01,4.592967e-01
1.835068e+00,1.977676e-01,6.602333e-01
1.795361e+00,1.201195e+00,9.671769e-02
7.303450e-01,2.107654e+00,2.696281e-01
1.834488e+00,2.440554e-01,6.468337e-01
1.120365e+00,9.740663e-01,3.357405e-01
1.784152e+00,1.506259e+00,8.362154e-02
1.854895e-01,1.889383e+00,7.283921e-01
1.289868e+00,1.083145e+00,1.983022e-01
1.166615e+00,9.077518e-01,3.414514e-01
3.195698e-01,2.017813e+00,4.799009e-01
8.779224e-01,1.055593e+00,4.180703e-01
1.952240e+00,1.203051e+00,4.707515e-02
3.561531e-01,2.099403e+00,4.299609e-01
8.062349e-01,2.402539e+00,1.135701e-01
1.961769e+00,1.904096e+00,2.154975e-02
3.246831e-01,2.909021e+00,4.420539e-01
1.786828e+00,1.846240e+00,-3.842093e-03
1.510283e+00,4.964972e-01,4.987764e-01
1.074296e+00,9.463211e-01,3.396055e-01
1.000890e+00,1.392188e+00,2.157836e-01
7.780578e-01,1.324810e+00,3.980870e-01
5.689795e-01,1.760459e+00,3.903033e-01
1.385419e+00,8.530130e-01,3.544648e-01
1.156628e+00,1.647252e+00,1.500282e-01
6.913892e-01,3.238127e-01,8.076218e-01
1.620937e+00,1.582592e+00,1.059109e-01
1.105693e+00,1.037160e+00,3.038154e-01
1.636478e+00,2.801393e+00,2.802084e-03
7.706199e-01,1.156197e+00,3.672632e-01
2.508539e-01,1.702852e-01,9.533148e-01
3.191940e-01,7.332122e-01,8.303161e-01
6.870552e-01,2.006135e+00,2.622732e-01
4.309512e-01,3.304717e-01,8.729396e-01
1.213719e+00,1.990654e+00,1.058591e-01
1.639830e+00,1.595491e+00,4.919949e-02
1.345951e+00,7.417962e-02,8.528795e-01
1.089275e-01,2.549763e+00,7.140948e-01
1.641637e+00,6.862296e-01,3.129621e-01
1.104557e+00,4.438732e-01,6.335687e-01
5.249619e-01,1.906244e+00,3.734373e-01
1.514394e+00,2.929377e-01,6.460820e-01
7.807124e-01,2.686404e+00,9.320905e-02
1.693612e+00,1.125743e+00,1.317236e-01
1.706979e+00,1.943385e+00,7.718291e-03
1.853323e+00,1.688052e+00,6.913900e-02
1.121007e+00,2.306451e+00,1.529419e-01
2.757873e-01,2.657395e+00,5.414299e-01
7.855987e-01,2.200782e+00,2.004595e-01
1.317646e+00,1.730625e+00,5.687964e-02
1.155158e+00,2.033149e+00,1.232737e-01
7.664484e-01,7.041065e-01,5.554017e-01
1.067672e+00,1.567423e+00,1.879112e-01
1.440043e+00,1.620253e+00,7.929233e-02
1.313066e+00,1.339778e-01,8.275899e-01
8.584969e-01,2.129012e+00,1.863215e-01
1.977577e+00,1.436287e+00,1.036283e-01
1.381313e-01,2.313144e+00,6.716019e-01
2.304741e-01,7.604296e-02,9.760946e-01
1.763502e+00,2.364123e+00,-1.002795e-02
9.202882e-01,1.884954e+00,2.351276e-01
3.315761e-01,2.694634e+00,3.985599e-01
1.974412e+00,6.985205e-01,2.398687e-01
1.387810e+00,2.295935e+00,1.272120e-02
1.691299e+00,1.846978e+00,9.327149e-02
4.287719e-01,3.314219e-01,8.771142e-01
1.677192e+00,1.677827e+00,9.115035e-02
5.123732e-01,2.966542e+00,2.610433e-01
6.124668e-01,4.649892e-01,7.230528e-01
8.992342e-01,4.052979e-01,7.256597e-01
1.808405e+00,1.667829e+00,3.231668e-02
1.680877e+00,1.134490e+00,1.523087e-01
1.593835e+00,2.613485e+00,-2.041752e-04
1.889154e+00,2.683443e+00,2.132699e-02
1.445706e+00,2.358771e+00,-2.157575e-02
1.322940e+00,1.400286e+00,1.555857e-01
2.321146e-01,1.233640e-01,9.956581e-01
1.681873e+00,1.673209e+00,2.341515e-02
5.368976e-01,1.650995e-01,9.382958e-01
4.630804e-01,8.781063e-02,9.555655e-01
9.892215e-01,1.611161e+00,2.217087e-01
1.213309e+00,2.286925e+00,3.030274e-02
1.388237e+00,1.669439e+00,1.477103e-01
5.923827e-01,2.613203e+00,2.006007e-01
1.837815e+00,1.594243e+00,5.230561e-02
1.411002e+00,2.838244e+00,7.444518e-02
4.175760e-01,2.555151e+00,3.957667e-01
1.688863e-01,4.948091e-01,8.950084e-01
1.905059e+00,1.492765e+00,6.982386e-02
1.902999e+00,1.200367e+00,6.260172e-02
8.615933e-01,7.375122e-01,5.324710e-01
1.151428e+00,1.051118e+00,3.666350e-01
8.005631e-01,2.403185e+00,1.834183e-01
4.980293e-01,1.169303e+00,5.744421e-01
7.008419e-01,8.507680e-01,5.901882e-01
8.620541e-01,2.646544e+00,9.649719e-02
1.446035e+00,8.164225e-02,8.971492e-01
8.988531e-01,1.305353e+00,3.413090e-01
1.043561e+00,1.565722e+00,1.691243e-01
5.893392e-01,1.626679e+00,3.524300e-01
4.211871e-01,1.658532e+00,4.649469e-01
1.814522e+00,1.564555e+00,3.385349e-02
1.786922e+00,2.542710e-01,6.652021e-01
1.246771e+00,1.310301e+00,1.886451e-01
4.354369e-01,1.780216e+00,4.459338e-01
1.423610e+00,2.893136e+00,-4.923547e-02
5.672979e-01,2.786785e+00,2.612230e-01
9.788330e-01,2.743148e+00,3.590703e-02
3.191874e-01,4.628466e-02,9.950461e-01
4.563132e-01,1.007971e-01,9.266325e-01
3.973617e-01,5.313421e-01,8.146796e-01
5.792150e-01,1.271044e-01,9.214317e-01
1.464434e+00,4.039081e-01,5.638230e-01
5.749326e-01,2.585162e+00,2.526134e-01
1.125436e+00,2.103805e+00,1.022595e-01
8.214667e-01,2.516564e+00,1.387517e-01
1.562917e+00,1.588954e+00,9.005252e-02
1.289542e+00,1.641629e+00,1.395016e-01
5.695391e-01,2.212766e+00,3.337670e-01
1.354176e+00,1.890204e+00,9.604720e-02
2.168715e-01,2.170736e+00,6.598726e-01
1.689834e+00,1.838459e+00,7.004259e-02
1.862107e+00,2.503937e-01,5.984621e-01
1.366753e+00,2.154754e+00,3.029541e-02
4.810529e-01,1.357375e+00,5.275439e-01
2.980143e-01,4.723254e-01,8.767384e-01
1.196089e+00,1.252700e+00,2.112106e-01
1.371962e+00,6.065914e-01,4.576418e-01
5.190854e-01,9.654869e-01,6.250876e-01
8.296678e-01,6.574848e-01,5.444747e-01
1.660700e+00,1.748657e-01,7.000428e-01
1.527183e+00,9.223698e-02,8.150185e-01
1.381437e+00,2.912550e+00,-1.660843e-02
1.334906e+00,1.068412e-01,8.027281e-01
1.512305e+00,1.420876e+00,1.291418e-01
1.607761e-01,2.421191e-01,9.535068e-01
4.813617e-01,1.876720e+00,3.729468e-01
9.741762e-01,4.139348e-01,6.859625e-01
1.626397e+00,2.209852e+00,4.885249e-02
1.551407e+00,2.858034e+00,4.650522e-02
1.573789e+00,1.362146e-01,8.522589e-01
1.352785e+00,2.508375e+00,6.737861e-02
1.112930e+00,3.990652e-01,6.703056e-01
1.150439e+00,7.794441e-01,4.076574e-01
1.861447e+00,2.344542e+00,-7.804285e-03
1.957307e+00,2.654758e+00,-7.089758e-03
3.321342e-01,2.544181e-01,8.454479e-01
1.077289e+00,1.414165e+00,2.407276e-01
1.716562e-01,1.629632e+00,7.682203e-01
7.259544e-01,1.967697e+00,2.726306e-01
6.998160e-01,1.345237e+00,3.295274e-01
2.867665e-01,2.496712e+00,4.963911e-01
1.855080e+00,1.028259e+00,1.365236e-01
1.654981e+00,1.087174e+00,1.389002e-01
1.804176e+00,1.051067e+00,1.620213e-01
2.944884e-01,2.348090e+00,5.026182e-01
1.647908e+00,1.776315e+00,8.738302e-02
1.482283e+00,2.984339e+00,-1.519308e-02
8.215811e-01,8.895557e-01,4.677273e-01
9.561741e-01,2.429863e+00,5.722345e-02
1.798154e+00,7.616726e-01,2.440658e-01
8.518899e-01,2.728352e+00,1.240582e-01
2.663008e-01,1.503029e+00,7.383726e-01
1.182132e-01,1.622433e+00,8.404565e-01
5.496291e-01,1.658224e+00,3.846043e-01
3.914678e-01,6.260255e-01,8.543942e-01
1.276751e+00,1.120605e+00,2.261595e-01
1.917160e+00,2.629833e+00,2.153079e-02
2.869490e-01,9.461590e-01,7.665922e-01
1.692291e+00,2.490246e+00,4.298676e-03
1.261034e+00,1.307914e+00,1.824004e-01
1.539191e+00,2.082714e+00,4.073427e-02
1.318576e+00,5.781280e-01,4.763032e-01
1.237313e+00,6.209138e-01,4.396732e-01
1.388020e+00,3.412417e-01,6.175752e-01
6.136846e-01,6.952163e-01,7.006976e-01
9.489457e-01,2.755391e+00,8.657362e-02
1.640262e+00,7.328251e-01,2.980414e-01
3.854830e-01,1.918407e+00,4.419027e-01
1.478584e+00,4.802903e-01,4.764504e-01
1.898127e+00,2.807494e+00,-3.373028e-02
3.543472e-01,1.560012e+00,5.707715e-01
1.989728e+00,1.599111e+00,2.141781e-02
1.897185e+00,1.702923e+00,1.040112e-01
3.612237e-01,1.500650e-02,9.289163e-01
3.899063e-01,2.314801e+00,4.145910e-01
2.383379e-01,1.779581e+00,6.952069e-01
1.116207e+00,2.326401e+00,1.083163e-01
1.870903e+00,2.655813e+00,4.318522e-02
1.402823e+00,4.790263e-01,4.451607e-01
1.790604e+00,2.425408e+00,4.543603e-02
1.301308e+00,1.894751e+00,9.807026e-02
1.684605e+00,6.241162e-01,3.867064e-01
1.088299e-01,2.711763e+00,7.493542e-01
7.594124e-01,2.658642e+00,9.271984e-02
1.129826e+00,1.348717e+00,2.164973e-01
1.822099e+00,2.024258e+00,6.038195e-02
1.110207e-01,2.605272e+00,7.576400e-01
1.000547e+00,2.938776e+00,3.035076e-02
1.101933e+00,2.871462e+00,5.436521e-02
4.998216e-01,2.509684e+00,3.016093e-01
1.340510e+00,2.514797e+00,9.191707e-02
1.816502e+00,2.350641e+00,-6.762446e-03
1.351120e+00,1.026091e+00,2.910747e-01
1.959881e+00,1.520799e+00,4.619435e-02
1.956601e+00,2.176423e+00,2.406024e-02
1.438781e-01,1.118388e+00,8.148659e-01
7.224731e-01,2.043436e-01,8.254138e-01
1.105556e+00,2.623729e+00,5.083983e-02
1.258269e+00,1.153714e+00,2.417498e-01
1.126379e+00,8.708112e-01,3.894937e-01
7.253810e-01,2.617237e+00,1.629019e-01
1.344738e+00,2.811784e+00,2.860780e-02
9.350382e-01,1.342433e+00,2.795078e-01
8.370041e-01,1.537864e+00,2.960044e-01
8.875887e-01,1.183511e+00,3.960273e-01
1.386314e+00,1.773496e+00,9.462654e-02
2.265158e-01,2.129997e+00,6.251217e-01
5.211936e-01,1.848356e+00,4.053944e-01
1.457225e+00,1.809793e+00,4.410991e-02
1.310501e+00,1.486184e+00,1.711564e-01
1.708326e+00,2.458492e+00,7.307544e-03
4.377210e-01,1.067182e-01,1.044625e+00
1.557758e+00,7.112179e-01,2.873690e-01
1.403638e-01,2.065423e+00,7.830056e-01
7.435211e-01,1.337410e+00,3.973236e-01
9.013439e-01,4.138067e-01,7.001808e-01
3.481724e-01,1.995152e+00,4.899498e-01
1.960588e+00,2.928648e+00,1.251835e-02
6.320550e-01,1.396031e+00,4.108369e-01
1.932604e+00,1.484683e+00,2.796862e-02
1.671961e+00,1.938753e+00,1.181477e-03
1.177725e+00,1.104708e+00,2.667397e-01
1.247097e+00,3.246563e-01,6.431636e-01
9.662515e-01,1.623980e+00,2.412375e-01
1.456886e+00,1.494189e+00,1.482075e-01
1.239128e+00,1.521702e+00,1.304483e-01
9.784340e-01,1.449609e+00,2.157320e-01
1.449755e+00,6.504082e-01,4.071746e-01
1.146360e+00,2.575790e+00,3.880953e-02
6.230742e-01,2.995675e+00,1.537568e-01
6.272878e-01,1.997874e+00,2.501466e-01
1.283971e-01,4.831205e-01,9.651508e-01
3.449387e-01,1.063877e+00,6.694264e-01
3.249590e-01,1.242942e+00,6.818528e-01
1.028309e+00,2.283429e+00,6.883942e-02
6.855756e-01,1.012139e-01,9.603597e-01
9.090546e-01,1.038866e+00,4.049457e-01
6.184230e-01,4.459534e-01,7.340773e-01
1.698727e+00,1.787782e+00,3.162820e-02
1.060726e+00,1.823197e+00,1.526390e-01
1.349844e+00,9.888690e-01,2.290361e-01
1.764060e+00,2.270241e+00,-2.249932e-02
1.996267e+00,2.261599e+00,-1.173708e-02
1.601697e+00,1.921416e+00,2.353051e-02
1.110627e+00,2.993134e+00,6.519229e-02
1.743771e-01,1.016548e+00,8.277491e-01
6.756268e-01,1.120594e+00,4.235066e-01
3.230156e-01,7.205947e-01,7.968637e-01
3.144334e-01,2.178523e+00,5.178845e-01
1.940406e+00,2.286184e-01,6.600306e-01
1.184350e+00,2.337747e+00,1.107678e-01
7.747051e-01,2.075163e+00,1.938587e-01
1.520363e+00,1.938002e+00,1.939464e-02
7.037290e-01,1.424669e+00,3.739824e-01
1.869657e+00,2.394001e+00,2.984748e-02
1.295506e+00,1.116891e+00,1.965379e-01
1.106987e+00,2.133463e+00,1.456999e-01
1.423846e+00,2.308032e+00,5.940977e-03
1.663118e-01,1.692929e+00,7.504126e-01
4.713187e-01,1.094205e+00,5.609440e-01
8.575080e-01,4.153484e-01,7.370824e-01
